unix_timestamp,x,y,z
1784696138.0019119,0.0,0.0,0.0
1784696138.9926243,-1e-05,1e-05,0.0
1784696140.2467277,2e-05,1e-05,0.0
1784696141.081895,-0.01346,0.25956,0.0
1784696142.0989344,-0.03483,0.75017,0.0
1784696143.1074903,-0.05545,1.21749,0.0
1784696144.1433282,-0.33824,1.1785,0.0
1784696145.167299,-0.83355,1.16048,0.0
1784696146.1918933,-1.28973,1.15153,0.0
1784696147.2184863,-1.28164,0.84922,0.0
1784696148.2381995,-1.27272,0.32167,0.0
1784696149.2625327,-1.26625,-0.08769,0.0
1784696150.286098,-0.94882,-0.07959,0.0
1784696151.3141868,-0.45025,-0.07744,0.0
1784696152.3350937,-0.04006,-0.0792,0.0
