unix_timestamp,tof1,tof2,tof3,tof4
1784700984.3172157,8135,0,0,0
1784700984.5151424,8137,0,0,0
1784700984.7230515,8138,0,0,0
1784700984.9172335,8133,0,0,0
1784700985.133139,8135,0,0,0
1784700985.3323493,8135,0,0,0
1784700985.530823,8148,0,0,0
1784700985.7394178,8146,0,0,0
1784700985.9164402,8142,0,0,0
1784700986.364301,8140,0,0,0
1784700986.554517,8140,0,0,0
1784700986.7646654,8140,0,0,0
1784700986.9242353,8134,0,0,0
1784700987.107824,8138,0,0,0
1784700987.337642,8136,0,0,0
1784700987.4578755,8074,0,0,0
1784700987.666727,7916,0,0,0
1784700987.882568,7830,0,0,0
1784700988.090585,7715,0,0,0
1784700988.313219,7587,0,0,0
1784700988.5436482,7509,0,0,0
1784700988.7345893,7407,0,0,0
1784700988.926204,7325,0,0,0
1784700989.1784873,7235,0,0,0
1784700989.3128488,7156,0,0,0
1784700989.522164,7057,0,0,0
1784700989.838476,6954,0,0,0
1784700989.9410732,6938,0,0,0
1784700990.239899,6940,0,0,0
1784700990.4586391,6940,0,0,0
1784700990.6565642,6945,0,0,0
1784700990.8621657,6940,0,0,0
1784700990.9523768,6939,0,0,0
1784700991.2748375,6943,0,0,0
1784700991.6781635,6941,0,0,0
1784700991.8831475,6942,0,0,0
1784700992.0925527,6937,0,0,0
1784700992.2995086,6934,0,0,0
1784700992.5080624,6938,0,0,0
1784700992.6246462,6932,0,0,0
1784700992.8130105,6919,0,0,0
1784700993.002809,6960,0,0,0
1784700993.2236373,6960,0,0,0
1784700993.4378996,6955,0,0,0
1784700993.6596816,6961,0,0,0
1784700993.8402443,6945,0,0,0
1784700994.0531206,6959,0,0,0
1784700994.2610586,6851,0,0,0
1784700994.5019338,6276,0,0,0
1784700994.7205906,5283,0,0,0
1784700994.85065,4553,0,0,0
1784700995.1659286,4527,0,0,0
1784700995.3609169,4503,0,0,0
1784700995.5758843,4354,0,0,0
1784700995.7678483,4416,0,0,0
1784700995.9770796,4375,0,0,0
1784700996.1886826,4386,0,0,0
1784700996.3987348,4403,0,0,0
1784700996.5999699,4472,0,0,0
1784700996.8076308,4336,0,0,0
1784700997.0087872,4418,0,0,0
1784700997.2123406,4434,0,0,0
1784700997.421012,4349,0,0,0
1784700997.6218739,4325,0,0,0
1784700997.8310332,4309,0,0,0
1784700997.9987168,4421,0,0,0
1784700998.1544447,4308,0,0,0
1784700998.3621936,4017,0,0,0
1784700998.5407717,4556,0,0,0
1784700998.7628868,4282,0,0,0
1784700998.978379,4903,0,0,0
1784700999.1996834,5263,0,0,0
1784700999.3772535,5200,0,0,0
1784700999.6798131,5366,0,0,0
1784700999.7909632,5067,0,0,0
1784700999.9976442,3827,0,0,0
1784701000.232916,3826,0,0,0
1784701000.4164877,3874,0,0,0
1784701000.6906235,5692,0,0,0
1784701000.898307,5019,0,0,0
1784701001.034263,4746,0,0,0
1784701001.305596,65534,0,0,0
1784701001.4990742,4624,0,0,0
1784701001.7215617,4368,0,0,0
1784701001.9224534,4366,0,0,0
1784701002.0426886,4744,0,0,0
1784701002.3358662,65534,0,0,0
1784701002.5228462,4140,0,0,0
1784701002.7416222,65534,0,0,0
1784701002.9460347,4560,0,0,0
1784701003.0652184,4432,0,0,0
1784701003.3520129,65534,0,0,0
1784701003.4772449,65534,0,0,0
1784701003.7284634,65534,0,0,0
1784701003.8619153,65534,0,0,0
1784701004.080951,65534,0,0,0
1784701004.2972596,7768,0,0,0
1784701004.4774067,8016,0,0,0
1784701004.699275,8194,0,0,0
1784701004.9222066,8237,0,0,0
1784701005.0681138,8244,0,0,0
1784701005.3558536,8237,0,0,0
1784701005.469649,8229,0,0,0
1784701005.7368286,8104,0,0,0
1784701006.021524,8055,0,0,0
1784701006.2171876,7550,0,0,0
1784701006.423888,7304,0,0,0
1784701006.6345177,7302,0,0,0
1784701006.8396177,7284,0,0,0
1784701007.0394866,7280,0,0,0
1784701007.250104,7250,0,0,0
1784701007.4539082,7223,0,0,0
1784701007.649629,7194,0,0,0
1784701007.8566227,7153,0,0,0
1784701008.0708144,7179,0,0,0
1784701008.2670805,7124,0,0,0
1784701008.4749727,7054,0,0,0
1784701008.6718297,7032,0,0,0
1784701008.8794532,6946,0,0,0
1784701009.0932155,6886,0,0,0
1784701009.2916594,7024,0,0,0
1784701009.3719764,6659,0,0,0
