unix_timestamp,x,y,z
1784700985.133139,0.0,0.0,0.0
1784700986.3540998,1e-05,-3e-05,0.0
1784700987.107824,3e-05,-7e-05,0.0
1784700988.0423431,0.35724,-0.11632,0.0
1784700989.0611274,0.86085,-0.27879,0.0
1784700990.239899,1.18153,-0.38322,0.0
1784700991.2748375,1.18059,-0.38513,0.0
1784700992.2995086,1.17835,-0.38482,0.0
1784700993.159752,1.25374,-0.17229,0.0
1784700994.1971486,1.42735,0.31743,0.0
1784700995.3609169,1.5893,0.76962,0.0
1784700996.396495,1.5866,0.75641,0.0
1784700997.421012,1.58601,0.75821,0.0
1784700998.2983465,1.52419,0.78406,0.0
1784700999.3185692,1.01653,0.9781,0.0
1784701000.3610952,0.54966,1.15974,0.0
1784701001.4990742,0.43384,1.20242,0.0
1784701002.5218472,0.4357,1.20053,0.0
1784701003.4351814,0.43679,1.20038,0.0
1784701004.4221578,0.28035,0.81186,0.0
1784701005.469649,0.08474,0.32683,0.0
1784701006.4391785,-0.02252,0.07149,0.0
1784701007.4600794,-0.02112,0.06922,0.0
1784701008.4749727,-0.01992,0.06994,0.0
