unix_timestamp,tof1,tof2,tof3,tof4
1784519481.0176215,2166,0,0,0
1784519481.2176983,2145,0,0,0
1784519481.4417386,2105,0,0,0
1784519481.627713,2175,0,0,0
1784519481.8291934,2137,0,0,0
1784519482.0255723,2217,0,0,0
1784519482.2361922,2156,0,0,0
1784519482.6406362,2284,0,0,0
1784519482.653345,2163,0,0,0
1784519482.8494842,2164,0,0,0
1784519483.267858,2130,0,0,0
1784519483.2698603,2119,0,0,0
1784519483.4824023,2119,0,0,0
1784519483.6774492,2145,0,0,0
1784519483.877902,2154,0,0,0
1784519484.2826583,2202,0,0,0
1784519484.495747,2153,0,0,0
1784519484.6997998,2200,0,0,0
1784519484.8961525,2137,0,0,0
1784519485.1054838,2243,0,0,0
1784519485.307702,2184,0,0,0
1784519485.5194035,2238,0,0,0
1784519485.7190034,2131,0,0,0
1784519485.9243233,2189,0,0,0
1784519486.120597,2142,0,0,0
1784519486.3371763,2192,0,0,0
1784519486.732593,2067,0,0,0
1784519486.764929,2247,0,0,0
1784519486.9576435,2145,0,0,0
1784519487.1578841,2192,0,0,0
1784519487.469126,2126,0,0,0
1784519487.5652945,2264,0,0,0
1784519487.7649956,2189,0,0,0
1784519487.974203,2252,0,0,0
1784519488.1782644,2046,0,0,0
1784519488.387027,2215,0,0,0
1784519488.5899615,2006,0,0,0
1784519488.8031344,2139,0,0,0
1784519488.9960792,2206,0,0,0
1784519489.194113,2209,0,0,0
1784519489.4032166,2171,0,0,0
1784519489.6195986,2137,0,0,0
1784519489.8169358,2174,0,0,0
1784519490.0376587,2189,0,0,0
1784519490.2100627,2159,0,0,0
1784519490.4318187,2174,0,0,0
1784519490.6362839,2112,0,0,0
1784519490.8473847,2159,0,0,0
1784519491.049038,2093,0,0,0
1784519491.2583063,2203,0,0,0
1784519491.4570742,2204,0,0,0
1784519491.8626492,2217,0,0,0
1784519491.8626492,2103,0,0,0
1784519492.0774415,2119,0,0,0
1784519492.2497525,2216,0,0,0
1784519492.48079,2125,0,0,0
1784519492.6787255,2196,0,0,0
1784519492.8847327,2121,0,0,0
1784519493.0958586,2265,0,0,0
1784519493.3041291,2134,0,0,0
1784519493.5004425,2179,0,0,0
1784519493.7061799,2210,0,0,0
1784519493.9150307,2219,0,0,0
1784519494.122601,2238,0,0,0
1784519494.327595,2125,0,0,0
1784519494.52739,2197,0,0,0
1784519494.740334,2208,0,0,0
1784519494.9410207,2198,0,0,0
1784519495.1372168,2270,0,0,0
1784519495.3622222,2244,0,0,0
1784519495.5372183,2145,0,0,0
1784519495.7603219,2215,0,0,0
1784519495.962026,2210,0,0,0
1784519496.1633625,2291,0,0,0
1784519496.3717806,2058,0,0,0
1784519496.5483432,2047,0,0,0
1784519496.7768726,2159,0,0,0
1784519496.9850206,2170,0,0,0
1784519497.1801538,2182,0,0,0
1784519497.3864741,2266,0,0,0
1784519497.5545168,2104,0,0,0
1784519497.8001409,2183,0,0,0
1784519498.0083601,2080,0,0,0
1784519498.216957,2158,0,0,0
1784519498.417046,2208,0,0,0
1784519498.5803525,2155,0,0,0
1784519498.8258612,2080,0,0,0
1784519499.0342638,2322,0,0,0
1784519499.245455,2138,0,0,0
1784519499.437641,2117,0,0,0
1784519499.578121,2159,0,0,0
1784519499.8517954,2092,0,0,0
1784519500.04689,2249,0,0,0
1784519500.26339,2323,0,0,0
1784519500.4710317,2179,0,0,0
1784519500.5898368,2103,0,0,0
1784519500.8767529,2262,0,0,0
1784519501.0730233,2148,0,0,0
1784519501.290896,2167,0,0,0
1784519501.492924,2255,0,0,0
1784519501.595395,2238,0,0,0
1784519501.9079838,2174,0,0,0
1784519502.0954816,2163,0,0,0
1784519502.3089633,2198,0,0,0
1784519502.5160093,2244,0,0,0
1784519502.602272,2226,0,0,0
1784519502.9174125,2157,0,0,0
1784519503.1179376,2226,0,0,0
1784519503.3272507,2217,0,0,0
1784519503.5402977,2179,0,0,0
1784519503.7388046,2211,0,0,0
1784519503.9480386,2209,0,0,0
1784519504.1425495,2250,0,0,0
1784519504.3515422,2200,0,0,0
1784519504.566332,2195,0,0,0
1784519504.606545,2193,0,0,0
1784519504.9589224,2225,0,0,0
1784519505.1743193,2243,0,0,0
1784519505.3819287,2093,0,0,0
1784519505.5787566,2134,0,0,0
1784519505.622749,2166,0,0,0
1784519505.9973645,2155,0,0,0
1784519506.188229,2143,0,0,0
1784519506.204148,2106,0,0,0
1784519506.4133654,2161,0,0,0
1784519506.6101022,2221,0,0,0
1784519507.0138848,2224,0,0,0
1784519507.0335674,2282,0,0,0
1784519507.227983,2083,0,0,0
1784519507.4348645,2054,0,0,0
1784519507.8264067,2158,0,0,0
1784519508.0463748,2199,0,0,0
1784519508.0540838,2289,0,0,0
1784519508.2535698,2156,0,0,0
1784519508.4548914,2196,0,0,0
1784519508.6653416,2093,0,0,0
1784519508.8813913,2318,0,0,0
1784519509.0687637,2193,0,0,0
1784519509.27707,2274,0,0,0
1784519509.4741738,2206,0,0,0
1784519509.6752574,2254,0,0,0
1784519509.8888922,2173,0,0,0
1784519510.1002831,2140,0,0,0
1784519510.2926319,2186,0,0,0
1784519510.5063798,2213,0,0,0
1784519510.6882992,2140,0,0,0
1784519510.9210844,2142,0,0,0
1784519511.12797,2176,0,0,0
1784519511.3172598,2180,0,0,0
1784519511.5312479,2202,0,0,0
