unix_timestamp,tof1,tof2,tof3,tof4
1784521425.7429686,1063,0,0,0
1784521425.944299,1060,0,0,0
1784521425.957838,1062,0,0,0
1784521426.3540294,1064,0,0,0
1784521426.3606982,1063,0,0,0
1784521426.75968,1058,0,0,0
1784521426.7754588,1026,0,0,0
1784521427.1452389,1007,0,0,0
1784521427.381636,982,0,0,0
1784521427.5904176,964,0,0,0
1784521427.5970347,942,0,0,0
1784521427.7926984,922,0,0,0
1784521428.0498533,901,0,0,0
1784521428.4002383,877,0,0,0
1784521428.488169,860,0,0,0
1784521428.6180604,836,0,0,0
1784521428.8240285,818,0,0,0
1784521429.1587648,797,0,0,0
1784521429.4149945,777,0,0,0
1784521429.439523,756,0,0,0
1784521429.6436245,735,0,0,0
1784521430.0408907,717,0,0,0
1784521430.1688442,694,0,0,0
1784521430.2435565,673,0,0,0
1784521430.4587002,653,0,0,0
1784521430.657789,631,0,0,0
1784521430.8592274,617,0,0,0
1784521431.174317,586,0,0,0
1784521431.2854347,555,0,0,0
1784521431.477421,535,0,0,0
1784521431.6771364,509,0,0,0
1784521431.8836663,484,0,0,0
1784521432.094403,465,0,0,0
1784521432.3030534,441,0,0,0
1784521432.4994626,420,0,0,0
1784521432.7138934,398,0,0,0
1784521432.9200356,377,0,0,0
1784521433.1286042,356,0,0,0
1784521433.321376,334,0,0,0
1784521433.527357,315,0,0,0
1784521433.7316754,291,0,0,0
1784521433.9304962,271,0,0,0
1784521434.1423995,267,0,0,0
1784521434.345335,270,0,0,0
1784521434.5476484,269,0,0,0
1784521434.7560134,269,0,0,0
1784521434.9567862,269,0,0,0
1784521435.1568072,268,0,0,0
1784521435.3730018,268,0,0,0
