unix_timestamp,tof1,tof2,tof3,tof4
1784519854.1630073,3350,0,0,0
1784519854.352885,3520,0,0,0
1784519854.7424448,3359,0,0,0
1784519854.9669023,2774,0,0,0
1784519855.173856,3017,0,0,0
1784519855.3744357,3014,0,0,0
1784519855.582702,2769,0,0,0
1784519855.7587774,2627,0,0,0
1784519855.9962363,2661,0,0,0
1784519856.019751,2675,0,0,0
1784519856.3975422,2559,0,0,0
1784519856.6067169,2595,0,0,0
1784519856.7556443,2714,0,0,0
1784519857.0088673,2682,0,0,0
1784519857.154745,2624,0,0,0
1784519857.4245691,2528,0,0,0
1784519857.625591,2276,0,0,0
1784519857.672388,2381,0,0,0
1784519858.036431,2363,0,0,0
1784519858.2416816,2095,0,0,0
1784519858.4428005,1587,0,0,0
1784519858.4565642,1522,0,0,0
1784519858.6653001,1844,0,0,0
1784519858.8666146,2512,0,0,0
1784519859.2640676,3400,0,0,0
1784519859.4733975,3858,0,0,0
1784519859.4733975,2569,0,0,0
1784519859.6818166,2157,0,0,0
1784519859.8795455,2784,0,0,0
1784519860.0837398,2957,0,0,0
1784519860.4974146,2968,0,0,0
1784519860.4974146,5240,0,0,0
1784519860.7032256,4675,0,0,0
1784519861.0972853,3885,0,0,0
1784519861.1164224,3981,0,0,0
1784519861.3244662,3949,0,0,0
1784519861.526017,3956,0,0,0
1784519861.7271318,3923,0,0,0
1784519861.942518,3980,0,0,0
1784519862.138378,3912,0,0,0
1784519862.3467414,3990,0,0,0
1784519862.5488389,3925,0,0,0
