unix_timestamp,tof1,tof2,tof3,tof4
1784519743.986618,3323,0,0,0
1784519744.1812067,3319,0,0,0
1784519744.3830986,3306,0,0,0
1784519744.6189425,3312,0,0,0
1784519744.806986,3288,0,0,0
1784519745.1942308,3248,0,0,0
1784519745.1942308,3270,0,0,0
1784519745.4032464,3136,0,0,0
1784519745.6117613,2945,0,0,0
1784519745.8126256,2874,0,0,0
1784519746.014554,2718,0,0,0
1784519746.2224102,2547,0,0,0
1784519746.423054,2421,0,0,0
1784519746.8369153,2091,0,0,0
1784519747.0318346,1977,0,0,0
1784519747.2564268,1785,0,0,0
1784519747.4480062,1630,0,0,0
1784519747.649922,1462,0,0,0
1784519747.8483367,1293,0,0,0
1784519748.0618892,1139,0,0,0
1784519748.2657845,956,0,0,0
1784519748.4692605,921,0,0,0
1784519748.6799881,950,0,0,0
1784519748.8814938,949,0,0,0
1784519749.1042583,948,0,0,0
1784519749.3057377,943,0,0,0
1784519749.4968662,942,0,0,0
1784519749.706298,940,0,0,0
