Time_s,Target,ErrX,ErrY,YawSpeedCmd,PitchSpeedCmd,YawP,YawI,YawD,YawSaturated,PitchP,PitchI,PitchD,PitchSaturated
1.052107572555542,R1-เป้า 1 (ซ้ายสุด),0.032810000000000006,0.030559999999999976,4.593400000000001,4.80228571428571,4.265300000000001,0.012335158956527714,0.4948240155243344,False,3.3615999999999975,0.011489255035400383,0.35847049815762644,False
1.0875401496887207,R1-เป้า 1 (ซ้ายสุด),0.02031000000000005,0.030559999999999976,2.843400000000007,4.80228571428571,2.6403000000000065,0.013630503111362463,-0.7896298745507021,False,3.3615999999999975,0.013438330238342275,0.2330058238024572,False
2.675457239151001,R1-เป้า 2 (ตรงกลาง),-0.029689999999999994,0.03888999999999998,-8.536943839999998,6.111285714285711,-3.8596999999999992,-0.00106884,-4.676174999999999,False,4.277899999999998,0.0014000399999999993,4.7640249999999975,False
2.675457239151001,R1-เป้า 2 (ตรงกลาง),-0.01640999999999998,0.04027999999999998,-2.8000000000000003,6.329714285714283,-2.1332999999999975,-0.0016595999999999991,-0.9479137499999974,False,4.430799999999998,0.0028501199999999985,3.2668912499999982,False
4.232698440551758,R1-เป้า 3 (ขวาสุด),-0.05391000000000001,0.052779999999999994,-8.609833893455816,8.293999999999997,-7.008300000000002,-0.010356262687683108,-1.5911776307681311,False,5.8058,0.01013918650817871,1.211641805197126,False
4.310118913650513,R1-เป้า 3 (ขวาสุด),-0.05780999999999997,0.052779999999999994,-8.726656900287297,8.293999999999997,-7.515299999999996,-0.01841248227739334,-1.1929444180099078,False,5.8058,0.01749444113445282,0.787567173378132,False
4.38960862159729,R1-เป้า 3 (ขวาสุด),-0.05625000000000002,0.052779999999999994,-8.05255536304211,8.293999999999997,-7.312500000000003,-0.026460815207004548,-0.7135945478351029,False,5.8058,0.025046281348228453,0.5119186626957858,False
4.405960559844971,R1-เป้า 3 (ขวาสุด),-0.05312,0.04443999999999998,-7.0,6.983428571428567,-6.9056,-0.028024322134494784,0.13911958805678265,False,4.888399999999998,0.026354305592536924,-0.9168295060050498,False
4.52948522567749,R1-เป้า 3 (ขวาสุด),-0.04999999999999999,0.04027999999999998,-6.999999999999998,6.329714285714283,-6.499999999999998,-0.03914154205942154,0.16999078900587256,False,4.430799999999998,0.035310337964057914,-0.6784490155525779,False
4.52948522567749,R1-เป้า 3 (ขวาสุด),-0.04531000000000002,0.030559999999999976,-6.343400000000003,4.80228571428571,-5.8903000000000025,-0.04077270205942154,0.8491690128538127,False,3.3615999999999975,0.03641049796405792,-1.6316918601091766,False
4.720641851425171,R1-เป้า 3 (ขวาสุด),-0.042190000000000005,0.026390000000000025,-5.906600000000001,4.4,-5.484700000000001,-0.0552895185319519,0.6033731952537611,False,2.9029000000000025,0.04549082000032425,-1.1140454107830533,False
4.720641851425171,R1-เป้า 3 (ขวาสุด),-0.03827999999999998,0.019440000000000013,-5.359199999999998,0.6090861429913399,-4.976399999999997,-0.0566675985319519,1.0080175769149486,False,2.1384000000000016,0.046190660000324256,-1.575504517008986,False
6.475164413452148,R2-เป้า 1 (ซ้ายสุด),0.02031000000000005,0.029169999999999974,2.843400000000007,4.583857142857139,2.6403000000000065,0.003967406033992777,0.5895168951603882,False,3.208699999999997,0.005698140522480006,0.6585341365654536,False
6.565790176391602,R2-เป้า 1 (ซ้ายสุด),0.02031000000000005,0.029169999999999974,2.843400000000007,4.583857142857139,2.6403000000000065,0.007280502675533314,0.38318598185425234,False,3.208699999999997,0.010456536831378928,0.42804718876754483,False
8.165250062942505,R2-เป้า 2 (ตรงกลาง),-0.030469999999999997,0.04027999999999998,-8.761221919999999,6.329714285714283,-3.9610999999999996,-0.00109692,-4.799024999999999,False,4.430799999999998,0.0014500799999999994,4.934299999999997,False
8.165250062942505,R2-เป้า 2 (ตรงกลาง),-0.01484000000000002,0.04027999999999998,-2.5884724100000063,6.329714285714283,-1.9292000000000025,-0.0016311600000000006,-0.6576412500000037,False,4.430799999999998,0.002900159999999999,3.207294999999998,False
9.694873809814453,R2-เป้า 3 (ขวาสุด),-0.06719000000000003,0.052779999999999994,-12.965292807629034,8.293999999999997,-8.734700000000004,-0.006059176022529604,-4.2245336316065005,False,5.8058,0.004759686120986938,2.5810656273806236,False
9.818971872329712,R2-เป้า 3 (ขวาสุด),-0.05625000000000002,0.05138999999999999,-9.799379281082157,8.075571428571427,-7.312500000000003,-0.018624104852199563,-2.4682551762299534,False,5.652899999999999,0.016239005099773406,1.6502506499934457,False
9.853853940963745,R2-เป้า 3 (ขวาสุด),-0.05547000000000002,0.05138999999999999,-8.767135468104003,8.075571428571427,-7.211100000000003,-0.02210693987703324,-1.5339285282269675,False,5.652899999999999,0.019465666212558744,1.0726629224957398,False
10.04232668876648,R2-เป้า 3 (ขวาสุด),-0.03594000000000003,0.026390000000000025,-5.031600000000004,4.4,-4.672200000000004,-0.034299618877887746,-0.6706429576410502,False,2.9029000000000025,0.028418498678684245,0.37225022886707526,False
10.060260772705078,R2-เป้า 3 (ขวาสุด),-0.030469999999999997,0.019440000000000013,-4.2658,1.4599595888126489,-3.9610999999999996,-0.03528323164558412,0.5248504144605105,False,2.1384000000000016,0.029046048143863686,-0.7074864593312165,False
